type,name,capacity,generation-00:00,note-00:00,generation-07:00,note-07:00
lng,大潭CC#7,600.0,199.0,,0.0,
lng,通霄CC#1,892.6,885.7,,880.3,
lng,通霄CC#2,892.6,874.2,,870.4,
lng,通霄CC#3,892.6,870.6,,867.1,
lng,通霄CC#4,386.0,73.4,部分檢修,73.8,部分檢修
lng,通霄CC#5,386.0,304.1,,300.4,
lng,通霄CC#6,321.2,347.5,,345.1,
lng,興達CC#1,445.2,282.1,部分檢修,212.0,部分檢修
lng,興達CC#2,445.2,16.5,測試運轉,16.5,測試運轉
lng,興達CC#3,445.2,259.9,部分檢修,209.3,部分檢修
lng,興達CC#4,445.2,383.0,,316.9,
lng,興達CC#5,445.2,387.6,,273.7,運轉限制
lng,南部CC#1,288.8,262.6,,218.0,
lng,南部CC#2,288.8,206.3,,187.9,
lng,南部CC#3,288.8,226.0,,221.0,
lng,南部CC#4,251.4,0.0,檢修,0.0,檢修
lng,大林#5,500.0,447.9,運轉限制,336.8,運轉限制
lng,大林#6,550.0,0.0,歲修,0.0,歲修
lng,小計,13149.0(26.465%),9489.7(30.741%),,8364.9(31.934%),
ipplng,海湖#1,450.0,454.2,,401.6,
ipplng,海湖#2,450.0,0.0,檢修,0.0,檢修
ipplng,新桃#1,600.0,0.0,合約限制,0.0,合約限制
ipplng,國光#1,480.0,471.4,,0.0,合約限制
ipplng,星彰#1,506.9,491.2,,439.5,
ipplng,星元#1,490.0,255.8,部分故障,257.3,部分故障
ipplng,嘉惠#1,670.0,0.0,合約限制,0.0,合約限制
ipplng,嘉惠#2(註10),-,0.0,,0.0,
ipplng,豐德#1,506.9,2.8,檢修,0.0,檢修
ipplng,豐德#2,506.9,492.9,,439.5,
ipplng,小計,4660.6(9.380%),2168.3(7.024%),,1537.9(5.871%),
oil,協和#3,500.0,131.6,環保限制,132.9,環保限制
oil,協和#4,500.0,0.0,歲修,0.0,歲修
oil,小計,1000.0(2.013%),131.6(0.426%),,132.9(0.507%),
diesel,核二Gas1,-,0.0,,0.0,
diesel,核二Gas2,-,0.0,,0.0,
diesel,核三Gas1,-,0.0,,0.0,
diesel,核三Gas2,-,0.0,,0.0,
diesel,台中Gas1&amp;2,140.0,0.0,,0.0,
diesel,台中Gas3&amp;4,140.0,0.0,,0.0,
diesel,澎湖尖山(註4),129.8,57.1,,57.1,
diesel,金門塔山(註4),113.3,38.9,,31.5,
diesel,馬祖珠山(註4),28.6,6.9,,6.2,
diesel,離島其他(註4),42.7,N/A,,N/A,
diesel,小計(註5),594.4(1.196%),102.9(0.333%),,94.8(0.362%),
hydro,德基#1,78.0,0.0,,0.0,
hydro,德基#2,78.0,0.0,,0.0,
hydro,德基#3,78.0,0.0,,0.0,
hydro,青山#1,92.0,0.0,,0.0,
hydro,青山#2,92.0,0.0,,0.0,
hydro,青山#3,92.0,0.0,,0.0,
hydro,青山#4,92.0,18.4,,0.0,
hydro,谷關#1,54.4,16.3,,14.5,
hydro,谷關#2,54.4,0.0,,0.0,
hydro,谷關#3,54.4,0.0,歲修,0.0,歲修
hydro,谷關#4,54.4,0.0,,0.0,
hydro,天輪#1,22.5,20.0,,19.3,
hydro,天輪#2,22.5,0.0,,0.0,
hydro,天輪#3,22.5,0.0,歲修,0.0,歲修
hydro,天輪#4,22.5,0.0,,0.0,
hydro,天輪#5,105.0,0.0,,0.0,
hydro,馬鞍#1,66.7,6.1,,2.7,
hydro,馬鞍#2,66.7,0.0,,0.0,
hydro,卓蘭#1,40.0,0.0,,0.0,
hydro,卓蘭#2,40.0,0.0,,0.0,
hydro,萬大#1,10.4,0.0,,0.0,
hydro,萬大#2,10.4,0.0,,0.0,
hydro,萬大#3,15.3,3.4,,3.5,
hydro,萬大#4,19.7,0.0,,0.0,
hydro,松林#1&amp;2,20.9,0.0,,0.0,
hydro,大觀一#1,22.0,7.3,,5.3,
hydro,大觀一#2,22.0,6.9,,4.6,
hydro,大觀一#3,22.0,6.9,,4.6,
hydro,大觀一#4,22.0,6.7,,5.4,
hydro,大觀一#5,22.0,0.0,檢修,0.0,檢修
hydro,鉅工#1,21.8,0.0,歲修,0.0,歲修
hydro,鉅工#2,21.8,10.9,,10.9,
hydro,水里#1,12.8,0.0,,0.0,
hydro,立霧#1&amp;#2,32.0,7.0,,7.0,
hydro,龍澗#1,48.6,0.0,,0.0,
hydro,龍澗#2,48.6,20.4,,0.0,
hydro,碧海,61.2,15.8,,3.7,
hydro,烏來&amp;桂山&amp;粗坑,40.5,9.3,,8.5,
hydro,北部小水力(註6),26.6,N/A,,N/A,
hydro,中部小水力(註6),9.8,N/A,,N/A,
hydro,南部小水力(註6),7.2,N/A,,N/A,
hydro,東部小水力(註6),54.6,16.0,,16.0,
hydro,翡翠#1,70.0,0.0,,0.0,
hydro,石門#1,45.0,0.0,,0.0,
hydro,石門#2,45.0,0.0,,0.0,
hydro,曾文#1,50.0,37.2,,36.4,
hydro,義興#1,40.0,12.1,,0.0,
hydro,名間,16.7,0.0,,0.0,
hydro,嘉南西口、烏山頭和八田,22.5,0.0,,0.0,
hydro,后里示範,0.1,N/A,,N/A,
hydro,卑南,2.0,0.6,,0.6,
hydro,捷祥關山,1.0,0.0,,0.0,
hydro,小計,2092.5(4.212%),230.3(0.746%),,152.0(0.580%),
wind,石門,4.0,0.0,,0.0,
wind,林口,6.0,0.0,,0.0,
wind,蘆竹,7.2,0.0,,0.0,
wind,大潭,15.1,0.0,,0.0,
wind,觀園,30.0,0.0,,0.0,
wind,香山,12.0,0.0,,0.2,
wind,台中,6.0,0.0,,0.5,
wind,台中港,36.0,1.8,,3.8,
wind,王功,23.0,0.5,,4.1,
wind,彰工,71.2,2.5,,12.6,
wind,永興,9.2,0.1,,1.0,
wind,離岸一期(註10),-,0.8,,1.4,
wind,雲麥,46.0,2.8,,5.5,
wind,四湖,28.0,2.5,,1.9,
wind,恆春,4.5,2.6,,0.0,
wind,澎湖中屯,4.8,0.1,,1.2,
wind,金門金沙,4.0,0.0,通訊中斷,0.0,通訊中斷
wind,澎湖湖西,5.4,0.1,,0.6,
wind,苗栗竹南,7.8,0.7,,0.2,
wind,苗栗大鵬,42.0,3.4,,9.4,
wind,鹿威彰濱,55.2,1.4,,7.8,
wind,鹿威鹿港,41.4,0.8,,3.4,
wind,觀威觀音&amp;桃威新屋,48.3,0.2,,0.1,
wind,中威大安,75.9,7.7,,21.0,
wind,崎威崎頂,6.9,0.6,,0.1,
wind,豐威,11.5,0.0,,1.7,
wind,龍威後龍,44.1,1.2,,4.9,
wind,苗栗通苑,39.1,1.2,,6.1,
wind,安威,11.5,0.0,,0.2,
wind,清風清水,2.3,0.1,,0.5,
wind,東鋼龍港,11.5,1.0,,3.9,
wind,海洋竹南,128.0,22.7,,62.6,
wind,禾風麥寮,2.3,0.2,,0.2,
wind,小計,840.2(1.691%),55.0(0.178%),,154.9(0.591%),
solar,金門金沙,0.5,0.000,,0.047,
solar,台中生水池,2.1,0.000,,0.268,
solar,興達生水池,1.6,0.000,,0.240,
solar,嘉義民雄,0.1,0.000,,0.000,
solar,中部儲運,0.1,0.000,,0.012,
solar,東勢新伯公,0.1,0.000,,0.012,
solar,永安鹽灘地,4.6,0.000,,0.677,
solar,路北,0.1,0.000,,0.007,
solar,中原大學,0.0,0.000,,0.002,
solar,大潭生水池,0.6,0.000,,0.014,
solar,核三生水池,1.5,0.000,,0.266,
solar,七美,0.4,0.000,,0.009,
solar,尖山,0.1,0.000,,0.010,
solar,卓蘭,0.0,0.000,,0.003,
solar,后里,0.1,0.000,,0.011,
solar,台中龍井,6.5,0.000,,0.969,
solar,七股,1.8,0.000,,0.302,
solar,龍潭E/S,0.2,0.000,,0.013,
solar,竹工E/S,0.2,0.000,,0.063,
solar,中科E/S,0.2,0.000,,0.016,
solar,彰林E/S,0.3,0.000,,0.044,
solar,高雄E/S,0.4,0.000,,0.190,
solar,燕巢倉庫,0.5,0.000,,0.089,
solar,大潭,0.7,0.000,,0.036,
solar,北儲,0.9,0.000,,0.038,
solar,彰濱光,100.0,0.000,,21.000,
solar,南鹽光(註10),-,0.000,,29.190,
solar,崙尾光(註10),-,0.000,,34.440,
solar,太陽能購電(註7),5435.2,0.000,,666.841,
solar,小計,5558.8(11.188%),0.0(0.000%),,754.8(2.882%),
pumpinggen,大觀二#1,250.0,147.0,,0.0,
pumpinggen,大觀二#2,250.0,0.0,,0.0,
pumpinggen,大觀二#3,250.0,0.0,,0.0,
pumpinggen,大觀二#4,250.0,171.2,,0.0,
pumpinggen,明潭#1,267.0,0.0,,0.0,
pumpinggen,明潭#2,267.0,0.0,,0.0,
pumpinggen,明潭#3,267.0,0.0,,0.0,
pumpinggen,明潭#4,267.0,0.0,,0.0,
pumpinggen,明潭#5,267.0,129.8,,0.0,
pumpinggen,明潭#6,267.0,0.0,,0.0,
pumpinggen,小計,2602.0(5.237%),448.0(1.451%),,0.0(0.000%),
pumpingload,大觀二#1,-,0.0,,-242.9,
pumpingload,大觀二#2,-,0.0,,-244.3,
pumpingload,大觀二#3,-,0.0,,-245.0,
pumpingload,大觀二#4,-,0.0,,0.0,
pumpingload,明潭#1,-,0.0,,0.0,
pumpingload,明潭#2,-,0.0,,-265.7,
pumpingload,明潭#3,-,0.0,,-261.7,
pumpingload,明潭#4,-,0.0,,-264.7,
pumpingload,明潭#5,-,0.0,,-268.4,
pumpingload,明潭#6,-,0.0,,0.0,
geothermal,小型地熱能,0.3,0.2,,0.2,
geothermal,小計,0.3(0.001%),0.2(0.001%),,0.2(0.001%),
